"['2021-10-08T23:21:30Z', 'animal_shelter', 'minor update']"
"['2021-10-08T23:10:17Z', 'animal_shelter', 'minor updates']"
"['2021-10-08T15:51:26Z', 'animal_shelter', 'all known error handling and notification complete']"
"['2021-10-06T13:38:31Z', 'animal_shelter', 'uploaded images sized and aligned; success notifications added']"
"['2021-10-06T12:57:33Z', 'animal_shelter', 'successfully displaying user uploaded images in browser']"
"['2021-10-06T01:54:31Z', 'animal_shelter', 'successfully adding image upload paths to database']"
"['2021-10-06T01:40:58Z', 'animal_shelter', 'successfully uploading client side images to local directory']"
"['2021-10-05T03:55:02Z', 'animal_shelter', 'success! animals can now be removed from shelter']"
"['2021-10-04T03:51:02Z', 'animal_shelter', 'custom form Field fuctional although not producing desired result']"
"['2021-10-03T03:55:45Z', 'animal_shelter', 'begun writing code to save user provided images']"
"['2021-10-01T03:47:30Z', 'animal_shelter', 'minor edits']"
"['2021-09-30T05:32:49Z', 'animal_shelter', 'now able to add animals to new cages']"
"['2021-09-30T03:42:16Z', 'animal_shelter', 'minor edits']"
"['2021-09-29T02:47:39Z', 'animal_shelter', 'html form-buttons and forms update']"
"['2021-09-29T00:21:44Z', 'animal_shelter', 'form validation and input error notification complete']"
"['2021-09-25T17:17:59Z', 'animal_shelter', 'another README update']"
"['2021-09-25T17:10:47Z', 'animal_shelter', 'README update']"
"['2021-09-24T17:51:49Z', 'animal_shelter', 'more README formatting']"
"['2021-09-24T17:48:53Z', 'animal_shelter', 'additional README formatting']"
"['2021-09-24T17:44:35Z', 'animal_shelter', 'updated README formatting']"
"['2021-09-24T17:35:04Z', 'animal_shelter', 'main requirements complete']"
"['2021-09-24T13:42:50Z', 'animal_shelter', 'add animal and update room name complete']"
"['2021-09-23T18:27:09Z', 'animal_shelter', 'created room html file; written logic to read and send database data to url']"
"['2021-09-22T23:18:31Z', 'animal_shelter', 'updated app and added index.html']"
"['2021-09-22T02:05:16Z', 'animal_shelter', 'successfully ran migrations and generated db tables']"
"['2021-09-22T00:45:43Z', 'animal_shelter', 'added application models']"
